Time (YYYY-MM-DD HH-MM-SS), pH (calibrated), temp (mv), batt (mv), pH (mv)
2020-12-09 03:32:02,0.00,19.7,3376,0634
2020-12-09 03:37:17,0.00,20.1,3380,0779
2020-12-09 03:42:30,0.00,20.0,3380,0788
2020-12-09 03:47:44,0.00,20.0,3376,0802
2020-12-09 03:52:56,0.00,20.1,3380,0779
2020-12-09 03:58:09,0.00,19.7,3376,0639
2020-12-09 04:03:20,0.00,19.7,3376,0647
2020-12-09 04:08:44,0.00,19.7,3380,0631
2020-12-09 04:13:44,0.00,19.7,3380,0677
2020-12-09 04:18:57,0.00,19.6,3372,0504
2020-12-09 04:24:10,0.00,19.6,3376,0462
2020-12-09 04:29:23,0.00,19.7,3376,0483
2020-12-09 04:34:36,0.00,19.6,3380,0509
2020-12-09 04:39:48,0.00,19.7,3372,0630
2020-12-09 04:45:01,0.00,19.7,3376,0669
2020-12-09 04:50:13,0.00,19.7,3380,0638
2020-12-09 04:55:26,0.00,19.7,3376,0656
2020-12-09 05:00:38,0.00,20.0,3376,0817
2020-12-09 05:05:51,0.00,20.0,3380,0772
2020-12-09 05:11:06,0.00,20.0,3376,0792
2020-12-09 05:16:22,0.00,20.1,3380,0855
2020-12-09 05:21:34,0.00,19.7,3376,0652
2020-12-09 05:26:47,0.00,19.7,3376,0649
2020-12-09 05:32:00,0.00,19.7,3376,0641
2020-12-09 05:37:13,0.00,19.7,3376,0640
2020-12-09 05:42:37,0.00,19.6,3376,0494
2020-12-09 05:47:37,0.00,19.7,3380,0461
2020-12-09 05:52:50,0.00,19.7,3380,0434
2020-12-09 05:58:04,0.00,19.7,3376,0571
2020-12-09 06:03:17,0.00,19.7,3376,0633
2020-12-09 06:08:29,0.00,19.7,3380,0673
2020-12-09 06:13:42,0.00,19.7,3376,0677
2020-12-09 06:18:54,0.00,19.7,3380,0650
2020-12-09 06:24:08,0.00,20.0,3384,0758
2020-12-09 06:29:21,0.00,20.0,3388,0844
2020-12-09 06:34:34,0.00,20.1,3388,0854
2020-12-09 06:39:50,0.00,20.1,3388,0785
2020-12-09 06:45:03,0.00,19.7,3384,0683
2020-12-09 06:50:16,0.00,19.7,3384,0678
2020-12-09 06:55:28,0.00,19.7,3384,0665
2020-12-09 07:00:41,0.00,19.7,3384,0627
2020-12-09 07:05:55,0.00,19.6,3384,0490
2020-12-09 07:11:06,0.00,19.7,3384,0493
2020-12-09 07:16:21,0.00,19.6,3388,0456
2020-12-09 07:21:34,0.00,19.7,3384,0501
2020-12-09 07:26:46,0.00,19.7,3388,0651
2020-12-09 07:31:59,0.00,19.7,3388,0689
2020-12-09 07:37:13,0.00,19.7,3384,0688
2020-12-09 07:42:25,0.00,19.7,3388,0678
2020-12-09 07:47:40,0.00,20.0,3384,0836
2020-12-09 07:52:52,0.00,20.0,3388,0839
2020-12-09 07:58:06,0.00,20.1,3388,0801
2020-12-09 08:03:20,0.00,20.0,3384,0801
2020-12-09 08:08:33,0.00,19.6,3388,0662
2020-12-09 08:13:45,0.00,19.7,3384,0652
2020-12-09 08:18:57,0.00,19.7,3384,0650
2020-12-09 08:24:10,0.00,19.7,3384,0673
2020-12-09 08:29:22,0.00,19.5,3388,0451
2020-12-09 08:34:36,0.00,19.7,3384,0548
2020-12-09 08:39:49,0.00,19.7,3384,0474
2020-12-09 08:45:03,0.00,19.6,3384,0560
2020-12-09 08:50:17,0.00,19.6,3384,0688
2020-12-09 08:55:29,0.00,19.7,3384,0664
2020-12-09 09:00:42,0.00,19.6,3388,0660
2020-12-09 09:05:53,0.00,19.7,3384,0655
2020-12-09 09:11:06,0.00,20.0,3388,0844
2020-12-09 09:16:18,0.00,20.0,3384,0773
2020-12-09 09:21:32,0.00,20.1,3388,0822
2020-12-09 09:26:46,0.00,20.2,3384,0832
2020-12-09 09:31:59,0.00,19.6,3384,0649
2020-12-09 09:37:11,0.00,19.7,3384,0693
2020-12-09 09:42:26,0.00,19.7,3380,0651
2020-12-09 09:47:39,0.00,19.6,3384,0680
2020-12-09 09:52:50,0.00,19.7,3380,0525
2020-12-09 09:58:03,0.00,19.7,3384,0531
2020-12-09 10:03:21,0.00,19.5,3388,0503
2020-12-09 10:08:33,0.00,19.7,3384,0480
2020-12-09 10:13:44,0.00,19.6,3384,0732
2020-12-09 10:18:57,0.00,19.7,3384,0656
2020-12-09 10:24:10,0.00,19.7,3388,0692
2020-12-09 10:29:22,0.00,19.6,3384,0694
2020-12-09 10:34:36,0.00,20.0,3384,0806
2020-12-09 10:39:49,0.00,20.0,3384,0838
2020-12-09 10:45:02,0.00,20.0,3384,0849
2020-12-09 10:50:16,0.00,20.2,3384,0816
2020-12-09 10:55:21,0.00,19.6,3380,0663
2020-12-09 11:00:35,0.00,19.6,3384,0694
2020-12-09 11:05:47,0.00,19.7,3388,0682
2020-12-09 11:11:00,0.00,19.6,3388,0711
2020-12-09 11:16:10,0.00,19.7,3384,0559
2020-12-09 11:21:23,0.00,19.7,3384,0500
2020-12-09 11:26:36,0.00,19.7,3388,0479
2020-12-09 11:31:49,0.00,19.7,3388,0481
2020-12-09 11:36:59,0.00,19.6,3384,0685
2020-12-09 11:42:11,0.00,19.6,3384,0650
2020-12-09 11:47:24,0.00,19.7,3384,0669
2020-12-09 11:52:37,0.00,19.7,3384,0665
2020-12-09 11:57:47,0.25,20.2,3384,0879
2020-12-09 12:03:01,0.00,20.0,3384,0834
2020-12-09 12:08:14,0.75,20.0,3388,0909
2020-12-09 12:13:27,1.00,20.0,3384,0915
2020-12-09 12:18:36,0.00,19.6,3384,0693
2020-12-09 12:23:48,0.00,19.7,3388,0693
2020-12-09 12:29:01,0.00,19.6,3384,0699
2020-12-09 12:34:14,0.00,19.7,3384,0665
2020-12-09 12:39:25,0.00,19.7,3384,0528
2020-12-09 12:44:37,0.00,19.7,3388,0554
2020-12-09 12:49:49,0.00,19.7,3388,0574
2020-12-09 12:55:02,0.00,19.6,3384,0574
2020-12-09 13:00:13,0.00,19.6,3384,0718
2020-12-09 13:05:25,0.00,19.7,3384,0708
2020-12-09 13:10:37,0.00,19.7,3384,0701
2020-12-09 13:15:50,0.00,19.7,3384,0701
2020-12-09 13:21:01,0.00,19.7,3384,0711
2020-12-09 13:26:12,0.00,19.7,3384,0717
2020-12-09 13:31:23,0.00,19.7,3384,0706
2020-12-09 13:36:35,0.00,19.7,3384,0709
2020-12-09 13:41:47,0.00,19.7,3384,0708
2020-12-09 13:46:58,0.00,19.7,3384,0714
2020-12-09 13:52:11,0.00,19.7,3380,0707
2020-12-09 13:57:22,0.00,19.7,3384,0706
2020-12-09 14:02:33,0.00,20.0,3384,0723
2020-12-09 14:07:44,0.00,20.0,3380,0712
2020-12-09 14:12:56,0.00,19.7,3384,0708
2020-12-09 14:18:08,0.00,19.7,3384,0719
2020-12-09 14:23:19,0.00,20.0,3380,0721
2020-12-09 14:28:31,0.00,19.7,3384,0723
2020-12-09 14:33:43,0.00,19.7,3384,0724
2020-12-09 14:38:54,0.00,19.7,3384,0720
2020-12-09 14:44:06,0.00,20.0,3384,0717
2020-12-09 14:49:18,0.00,20.0,3384,0711
2020-12-09 14:54:30,0.00,20.0,3384,0713
2020-12-09 14:59:42,0.00,20.0,3380,0725
2020-12-09 15:04:53,0.00,19.8,3380,0724
2020-12-09 15:10:05,0.00,19.8,3384,0710
2020-12-09 15:15:16,0.00,19.8,3384,0720
2020-12-09 15:20:27,0.00,19.7,3384,0723
2020-12-09 15:25:38,0.00,19.8,3384,0720
2020-12-09 15:30:49,0.00,20.0,3384,0723
