10,-69
11,-69
12,-71
13,-83
14,-79
15,-79
16,-79
17,-79
18,-81
19,-81
26,-76
27,-77
28,-75
29,-76
30,-89
31,-92
32,-82
33,-95
34,-91
35,-92
36,-93
44,-77
45,-76
46,-83
47,-87
48,-88
49,-88
50,-91
51,-91
53,-89
62,-77
63,-76
64,-80
65,-83
66,-83
81,-80
82,-81
83,-86
84,-90
85,-80
86,-92
87,-100
88,-93
89,-98
90,-96
99,-81
100,-85
101,-80
102,-91
103,-91
104,-90
105,-91
106,-91
107,-89
108,-91
116,-91
117,-89
118,-90
119,-90
120,-92
121,-89
122,-76
125,-92
131,-93
132,-95
140,-97
150,-88
151,-86
168,-92
169,-86
170,-91
184,-83
185,-78
186,-70
187,-86
188,-76
189,-77
190,-78
191,-77
192,-80
193,-79
