4,-75
5,-66
6,-64
7,-74
8,-73
9,-68
10,-68
11,-71
12,-73
13,-68
4,-69
5,-72
6,-69
7,-69
8,-70
9,-68
10,-67
11,-68
12,-71
13,-69
18,-81
19,-83
20,-80
21,-76
22,-82
23,-82
24,-80
25,-70
26,-76
27,-82
35,-83
36,-75
37,-79
38,-78
39,-79
40,-77
41,-78
42,-80
43,-82
44,-76
51,-83
52,-85
53,-89
54,-87
55,-86
56,-83
57,-88
58,-84
59,-84
60,-85
67,-86
68,-81
69,-83
70,-85
71,-85
73,-73
74,-91
75,-87
76,-88
85,-87
86,-85
87,-86
88,-84
89,-92
90,-83
91,-84
92,-84
93,-85
94,-85
101,-83
102,-91
103,-85
104,-82
105,-86
106,-77
107,-90
108,-90
109,-91
124,-87
125,-90
126,-90
127,-84
128,-86
129,-83
130,-93
131,-91
133,-91
140,-89
141,-84
142,-87
143,-83
144,-85
145,-82
146,-88
147,-85
148,-91
162,-85
163,-88
164,-87
165,-93
166,-87
167,-87
169,-85
170,-86
171,-89
179,-87
180,-94
181,-91
182,-88
184,-89
185,-90
186,-79
187,-92
188,-94
202,-67
203,-69
204,-71
205,-66
206,-65
207,-66
208,-65
209,-67
210,-71
211,-67
